only,alleen
as,als
in the meantime,alvast
evening,de avond
a bit,beetje
to judge,beoordelen
cutlery,het bestek
steak,de biefstuk
cappuccino,de cappuccino
chocolate,de chocola
thank you,dank je / u wel
thirst,de dorst
bon appetit,eet smakelijk
um,eh
very,erg
tip,de fooi
chip,frietje
to sit down,gaan zitten
course,de gang
no,geen
to fetch,halen
exquisite,heerlijk
hunger,de honger
main course,het hoofdgerecht
to like,houden van
icecream,het ijs
to choose,kiezen
chicken,de kip
to leave,laten
spoon,de lepel
menu,de menukaart
knife,het mes
me,mij
mineral water,het mineraalwater
perhaps,misschien
difficult,moeilijk
one moment,momentje
mussels,de mosselen
mustard,de mosterd
mustard soup,de mosterdsoep
dessert,het nagerecht
oh no,o nee
us,ons
paella,de paella
to try,proeven
window,het raam
rest,de rest
restaurant,het restaurant
rice,de rijst
salad,de salade
waitress,de serveerster
whipped cream,de slagroom
soup,de soep
type / kind,het soort
table,de tafel
to,te
after all,toch
dessert,het toetje
vegetarian,vegetarisch
greasy / rich,vet
awful,vies
meat,het vlees
starter,het voorgerecht
fork,de vork
(girl)friend,de vriendin
fruit,de vrucht
without,zonder
